Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
68.0,Ryan Mela,Providence,F,29.0,9.0,566.0,71.0,155.0,0.458,9.0,30.0,0.3,62.0,125.0,0.496,0.487,35.0,61.0,0.574,26.0,125.0,151.0,54.0,22.0,4.0,40.0,38.0,186.0,
69.0,JJ Traynor,DePaul,F,32.0,10.0,560.0,72.0,129.0,0.558,12.0,39.0,0.308,60.0,90.0,0.667,0.605,22.0,32.0,0.688,25.0,81.0,106.0,19.0,11.0,21.0,18.0,38.0,178.0,
70.0,Wesley Cardet Jr.,Providence,G,25.0,18.0,533.0,72.0,161.0,0.447,24.0,63.0,0.381,48.0,98.0,0.49,0.522,41.0,66.0,0.621,27.0,50.0,77.0,19.0,8.0,2.0,33.0,30.0,209.0,
71.0,Rich Barron,Providence,F,27.0,9.0,513.0,50.0,143.0,0.35,34.0,101.0,0.337,16.0,42.0,0.381,0.469,6.0,11.0,0.545,15.0,46.0,61.0,17.0,16.0,1.0,13.0,42.0,140.0,
72.0,Curtis Williams,Georgetown,G,33.0,3.0,508.0,56.0,138.0,0.406,25.0,82.0,0.305,31.0,56.0,0.554,0.496,19.0,26.0,0.731,17.0,44.0,61.0,18.0,12.0,2.0,29.0,36.0,156.0,
73.0,Royce Parham,Marquette,F,34.0,0.0,504.0,66.0,162.0,0.407,26.0,93.0,0.28,40.0,69.0,0.58,0.488,16.0,25.0,0.64,36.0,40.0,76.0,12.0,21.0,13.0,13.0,47.0,174.0,
74.0,Chaunce Jenkins,Seton Hall,G,18.0,13.0,491.0,62.0,169.0,0.367,30.0,73.0,0.411,32.0,96.0,0.333,0.456,51.0,64.0,0.797,12.0,59.0,71.0,31.0,13.0,8.0,30.0,42.0,205.0,
75.0,Zaide Lowery,Marquette,F,31.0,0.0,489.0,48.0,102.0,0.471,21.0,56.0,0.375,27.0,46.0,0.587,0.574,10.0,14.0,0.714,22.0,72.0,94.0,7.0,21.0,2.0,10.0,30.0,127.0,
76.0,Yacine Toumi,Seton Hall,G,29.0,2.0,475.0,41.0,108.0,0.38,9.0,36.0,0.25,32.0,72.0,0.444,0.421,21.0,44.0,0.477,28.0,52.0,80.0,20.0,15.0,13.0,26.0,59.0,112.0,
77.0,Boden Kapke,Butler,C,34.0,16.0,454.0,51.0,127.0,0.402,18.0,66.0,0.273,33.0,61.0,0.541,0.472,21.0,38.0,0.553,26.0,70.0,96.0,22.0,10.0,4.0,11.0,50.0,141.0,
78.0,Godswill Erheriene,Seton Hall,C,32.0,23.0,454.0,41.0,73.0,0.562,0.0,0.0,,41.0,73.0,0.562,0.562,8.0,26.0,0.308,39.0,53.0,92.0,7.0,4.0,16.0,23.0,44.0,90.0,
79.0,Jahseem Felton,Seton Hall,G,26.0,8.0,434.0,33.0,105.0,0.314,9.0,26.0,0.346,24.0,79.0,0.304,0.357,17.0,22.0,0.773,6.0,27.0,33.0,17.0,8.0,1.0,28.0,32.0,92.0,
